review_id,product_id,platform,product_name,brand,content,score,nickname,review_date,variant,images
,10207228329823,jd,,,火力挺不错 1火力还可以 1收货快速 1,,j***j,,,
,10207228329823,jd,,,买家评价(10),,,,,
,10214988190947,jd,,,买家评价(500+)好评率高达100%大火力超猛 18操作超便捷 23一擦即净 1火焰很稳定 2炒菜很香 2尺寸完美适配 5适合老人用 2用着超舒适 6颜值超能打 14智能功能超实用 1火力家用够用 1超省电 2r***q收到的实物真是太好了，不管是外观还是质量真的很棒，太喜欢了f***a用着还挺方便的，比较好打理9***5不挑锅，火力还挺大，炒菜完全够了，没想到电还能生明火，高科技产品[强]全部评价问大家会不会很耗电？不会的，我们这款热效率高达81.5%，比燃气灶、电磁炉更加节能查看更多1个回答对家庭普通的电源负荷有什么特别的要求吗？家用电220v就可以用查看更多2个回答全部问答,,r***q,,,
,10214988190947,jd,,,大火力超猛 18操作超便捷 23一擦即净 1火焰很稳定 2炒菜很香 2尺寸完美适配 5适合老人用 2用着超舒适 6颜值超能打 14智能功能超实用 1火力家用够用 1超省电 2,,r***q,,,
,10214988190947,jd,,,买家评价(500+),,,,,
,10125961876732,jd,,,买家评价(18)好评率高达100%8啊明8大家如果嫌火力太猛 可以加一个导热盘，总体上算好全部评价问大家做的菜有明火做的好吃吗，不要又像电磁炉做点东西不好吃是的，插电生明火的呢查看更多1个回答全部问答,,8啊明8,,,
,10125961876732,jd,,,大家如果嫌火力太猛 可以加一个导热盘，总体上算好,,8啊明8,,,
,10125961876732,jd,,,买家评价(18),,,,,
,10223764009963,jd,,,买家评价(0)我要评价,,,,,
,10223764009963,jd,,,买家评价(0),,,,,
,10215906877147,jd,,,买家评价(100+)好评率高达100%大火力超猛 2使用超顺手 3烧水超快 1超省电 1安全防护超到位 5材质质量很好 11细节处理细腻 1无需点火 1外观超精致 4物流很快 18服务很棒 17解答超耐心 2a***a质量很好，收到货第一时间打开看了，很不错，很满意挺好的，和想象中一样，满意！V***h发货快得超乎想象，包裹迅速送达。客服态度特别好，有问题都能耐心解答，好评！玉***米这产品是真的不用煤气燃气啊，打开就能看到火了，有点新奇，没有废气产生，整体来说还是不错的全部评价问大家试用后好不好我们这边是有运费险的，使用不合适可以进行七天无理由退货哦查看更多1个回答全部问答,,a***a,,,
,10215906877147,jd,,,大火力超猛 2使用超顺手 3烧水超快 1超省电 1安全防护超到位 5材质质量很好 11细节处理细腻 1无需点火 1外观超精致 4物流很快 18服务很棒 17解答超耐心 2,,a***a,,,
,10215906877147,jd,,,买家评价(100+),,,,,
,10213568321534,jd,,,买家评价(30)好评率高达100%火力猛加热快 2火候很均匀 1即插即用 1超省电 2灶头超好用 1功率够用 1材质质量很好 1双灶超好用 1火焰控制正常 1省电耐用 2配送超快速 1态度超友好 17***1质量不错 感觉火焰还可以的 发货速度有点慢 其他使用后 再来评论a***a家用 3000W 单灶火力很稳定，爆炒炖煮都没问题，操作简单老人也能用，耗电低，长期用特别省钱。萌萌_泽泽入手的 3000W 电火单灶真心好用，加热速度快不耽误做饭，颜值百搭厨房，关键节能又省电。全部评价问大家我要提问,,7***1,,,
,10213568321534,jd,,,火力猛加热快 2火候很均匀 1即插即用 1超省电 2灶头超好用 1功率够用 1材质质量很好 1双灶超好用 1火焰控制正常 1省电耐用 2配送超快速 1态度超友好 1,,7***1,,,
,10213568321534,jd,,,买家评价(30),,,,,
,10207228329820,jd,,,买家评价(10)火力挺不错 1火力还可以 1收货快速 1j***j只要能点着火，火力还是可以的。我1月9日下单，11日收到货。12日开始用，第一天能轻松点火，第二天点火就不顺畅，第三天也能点着火，第四天，第五天开关要来来回回多试几次才能点着火，第六天就点不着火了。全部评价问大家我要提问,,j***j,,,
,10207228329820,jd,,,火力挺不错 1火力还可以 1收货快速 1,,j***j,,,
,10207228329820,jd,,,买家评价(10),,,,,
,10204685133014,jd,,,买家评价(7)好评率高达100%问大家我要提问,,,,,
,10204685133014,jd,,,买家评价(7)好评率高达100%,,,,,
,10204685133014,jd,,,买家评价(7),,,,,
,10214988190951,jd,,,买家评价(500+)好评率高达100%大火力超猛 18操作超便捷 23一擦即净 1火焰很稳定 2炒菜很香 2尺寸完美适配 5适合老人用 2用着超舒适 6颜值超能打 14智能功能超实用 1火力家用够用 1超省电 2r***q收到的实物真是太好了，不管是外观还是质量真的很棒，太喜欢了f***a用着还挺方便的，比较好打理9***5不挑锅，火力还挺大，炒菜完全够了，没想到电还能生明火，高科技产品[强]全部评价问大家会不会很耗电？不会的，我们这款热效率高达81.5%，比燃气灶、电磁炉更加节能查看更多1个回答对家庭普通的电源负荷有什么特别的要求吗？家用电220v就可以用查看更多2个回答全部问答,,r***q,,,
,10214988190951,jd,,,大火力超猛 18操作超便捷 23一擦即净 1火焰很稳定 2炒菜很香 2尺寸完美适配 5适合老人用 2用着超舒适 6颜值超能打 14智能功能超实用 1火力家用够用 1超省电 2,,r***q,,,
,10214988190951,jd,,,买家评价(500+),,,,,
,10129169456381,jd,,,买家评价(11)好评率高达100%大火力超猛 3做菜超方便 1火力可微调 1超省电 1用着很安心 2材质非常厚实 1无需点火 1质感高级 1充满科技感 1适用性强 1运送超快速 2送货上门方便 1j***y安装好了，这灶的质感太好了，插电直接用，很厚重，火力也很大，炒菜烧水都很快，完全可以替代煤气灶刘***岁电火灶质量不错，试了一段时间挺好用的，无燃气泄漏风险，新款的还不挑锅，陶瓷、不锈钢炒锅都能用，抬锅不熄火。火力可调节，操作简单，值得推荐丿***氼电火灶科技感满满，直接插电使用，可产生明火，火焰也够大，加热快，温度高，炒菜很方便，确实不错全部评价问大家我要提问,,j***y,,,
,10129169456381,jd,,,大火力超猛 3做菜超方便 1火力可微调 1超省电 1用着很安心 2材质非常厚实 1无需点火 1质感高级 1充满科技感 1适用性强 1运送超快速 2送货上门方便 1,,j***y,,,
,10129169456381,jd,,,买家评价(11),,,,,
,10228206539432,jd,,,买家评价(0)我要评价,,,,,
,10228206539432,jd,,,买家评价(0),,,,,
,10183942708581,jd,,,买家评价(13)好评率高达100%大火力超猛 1外观简洁 1火力强劲稳定 1j***6电火灶火力还挺大的，日常炒菜做饭都挺好，小巧轻便颜值也高，挺适合我这种不通气的公寓，主要是外出露营也能带上用，挺好的产品！！！全部评价问大家我要提问,,j***6,,,
,10183942708581,jd,,,大火力超猛 1外观简洁 1火力强劲稳定 1,,j***6,,,
,10183942708581,jd,,,买家评价(13),,,,,
,10211601936303,jd,,,星焰【不用燃煤气只用电】电火灶纯电明火灶新能源台式灶具等离子猛火炉大功率公寓户外炉灶科技电燃灶 以电生火--猛火灶￥2954老板（Robam）【全能定时+防干烧】JZT-51B0A天然气猛火灶燃气炉灶煤气双灶台家用灶具双灶台以旧换新上门安装￥2299.3华火新能源双喷火灶插电出明火灶家用电火灶厨房电燃灶商用电焰灶 u10pro 嵌入款-180天只换不修￥7180美的（Midea）JZT-JDQ1（天然气）燃气灶 家用 5.0KW大火力 嵌入式双灶*￥1149华火新能源科技 电火焰灶 3500瓦大火力 台嵌两用 防爆玻璃面板 插电出明火 可视显示屏 实时定时 u8por-365天只换不修￥517,,j***4,,,
,10211601936303,jd,,,还没有使用，使用后看看如何，安装后不能退货,,j***4,,,
,10211601936303,jd,,,买家评价(41),,,,,
,10228206539432,jd,,,买家评价(0)我要评价,,,,,
,10228206539432,jd,,,买家评价(0),,,,,
,10214988190950,jd,,,买家评价(500+)好评率高达100%大火力超猛 18操作超便捷 23一擦即净 1火焰很稳定 2炒菜很香 2尺寸完美适配 5适合老人用 2用着超舒适 6颜值超能打 14智能功能超实用 1火力家用够用 1超省电 2t***k宝贝已收到，质量真的没话说，挺好的，接下来看看使用情况，r***q收到的实物真是太好了，不管是外观还是质量真的很棒，太喜欢了u***p选的华火电火灶黄色款太戳我了！明亮又显活力，摆在厨房瞬间提亮整个空间。试了煎蛋和煮面条，加热速度特别快，火候也好控制，新手也能轻松上手，不用扛煤气罐真的太省心了！全部评价问大家会不会很耗电？不会的，我们这款热效率高达81.5%，比燃气灶、电磁炉,,t***k,,,
,10214988190950,jd,,,大火力超猛 18操作超便捷 23一擦即净 1火焰很稳定 2炒菜很香 2尺寸完美适配 5适合老人用 2用着超舒适 6颜值超能打 14智能功能超实用 1火力家用够用 1超省电 2,,t***k,,,
,10214988190950,jd,,,买家评价(500+),,,,,
,10100665910654,jd,,,买家评价(200+)超90%买家赞不绝口火力够猛 4点火超迅速 1做菜超方便 1清洁超干净 1噪音超低 1使用超舒适 1颜值超能打 1用着很安全 2充满科技感 3电磁炉好用 1服务很棒 2配送超快速 2琴***雨第一次看见这个插电就生火的灶，很漂亮。  点火速度：点火速度很快，插电按旋钮就可以了。    火力大小：火焰的温度很高很大，炒菜也很快。    安全系数：用这个灶以后家里再也不用担心燃气泄漏了。j***2火力足，使用方便，风扇噪音大，小火功率太大了，熬粥煲汤不理想，希望改进。物流很快，服务好大***赵科技感满满啊，火焰很大，上火特别快，试了试感觉还是不错的。缺点就是有点小贵。全部评价问,,琴***雨,,,
,10100665910654,jd,,,火力够猛 4点火超迅速 1做菜超方便 1清洁超干净 1噪音超低 1使用超舒适 1颜值超能打 1用着很安全 2充满科技感 3电磁炉好用 1服务很棒 2配送超快速 2,,琴***雨,,,
,10100665910654,jd,,,买家评价(200+),,,,,
,10221678458306,jd,,,买家评价(100+)好评率高达100%一擦即净 1加热很均匀 1做菜好吃 1即插即用 1出租房适用 1拆洗超方便 1材质超耐用 2颜值超能打 2细节处理细腻 3安全防护到位 1外观简洁 1面板质量上乘 5j***b出租屋简单装修，这款简约大方，放厨房不突兀，颜值和实用兼顾。j***d之前电磁炉受热不均，换电焰灶火焰包裹锅底，受热均匀，做菜口感明显更好。d***j小户型厨房空间小，尺寸刚好不占地，煮面炒菜煲汤全能搞定，实用不占地。全部评价问大家我要提问,,j***b,,,
,10214988190948,jd,,,大火力超猛 18操作超便捷 23一擦即净 1火焰很稳定 2炒菜很香 2尺寸完美适配 5适合老人用 2用着超舒适 6颜值超能打 14智能功能超实用 1火力家用够用 1超省电 2,,t***k,,,
,10214988190948,jd,,,买家评价(500+),,,,,
,tb_web_0004,taobao,,,"物流很快次日达,宝贝很不错安装方便,火很旺,在没有煤气的情况下是个很不错的选择",5,微**4,,,
,tb_web_0004,taobao,,,"加热确实快,炒菜很顺手。外观很酷,非常不错,效率蛮高的。使用起来很方便。",5,京**强,,,
,tb_web_0004,taobao,,,"外观很酷炫,加热快,使用起来非常方便。体积也不会很大,很适合在日常使用。",5,京**强2,,,
,tb_web_0004,taobao,,,"帮国外客户采购的,是客户需要的款式,视频看整体客户很满意,等他收到使用。",5,吴**头,,,
,tb_web_0022,taobao,,,双灶组合?这个华火产品适合我家的开放式厨房不,4,从不妥协非黑即白,,,
,tb_web_0022,taobao,,,现在这种大功率的电灶 耗电会不会很严重,3,浩澜轩,,,
,tb_web_0022,taobao,,,"华火这台灶火力够猛,煎牛排应该很合适。就是噪音有点大,希望改善",4,手心仍有一丝余温,,,
,tb_web_0022,taobao,,,电陶炉一体灶才卖4282 感觉有点小贵,3,略略略,,,
,tb_web_0022,taobao,,,这电陶炉一体灶看起来挺实用的 价格也合适,4,破天战魂,,,
,tb_web_0022,taobao,,,华火这波活动挺实在 4282入手还是划算的,5,相思情,,,
,tb_web_0022,taobao,,,这个电陶炉一体灶真方便,5,美丽的泡沫i,,,
,tb_web_0003,taobao,,,"炒菜快到飞起,锅气直接拉满!以前用电磁炉炒青椒土豆丝要6分钟,用电火灶只要3分半,口感脆爽",5,测评达人,,,
,tb_web_0003,taobao,,,"火力猛得像专业厨师级别,轻轻一旋就点火成功,完全不像某些燃气灶要咔哒半天才打着火",5,宿舍党,,,
,tb_web_0003,taobao,,,"不需要连接天然气管道,也不用灌煤气罐,插个插座就能用!对于宿舍党和租房党来说简直是天赐福音",5,租房党,,,
,tb_web_0001,taobao,,,"亲测30天,电磁炉+电陶炉的组合设计,完全没用燃气,但火力竟然能模拟出类似燃气灶的效果",5,社畜厨娘,,,
,tb_web_0001,taobao,,,"双灶分区设计太棒了!左边电磁炉负责爆炒,右边电陶炉适合慢炖,两个功能互不干扰",5,社畜厨娘,,,
,tb_web_0001,taobao,,,"插电就能用,插座一插,饭菜搞定,安全感满满。清洁也方便,擦一擦就干净如新",5,社畜厨娘,,,
,tb_web_0001,taobao,,,"没有明火,家里有娃或者宠物的姐妹一定要冲!再也不用担心锅底火星乱蹦",5,社畜厨娘,,,
,tb_web_fuge1,taobao,,,"产品包装很好,赠送的平底锅很满意,打火很灵敏,收到就能用,火力也很猛,整体感觉很不错",5,l###1,,,
,tb_web_fuge1,taobao,,,"这是我买的第二个富格灶了,质量没一点问题,还用还很省气,电陶炉也很好用,不错的选择",5,袁###9,,,
,tb_web_fuge1,taobao,,,该产品美观大方高档大气火力强大使用很顺手。客服人员服务使人非常满意!5分好评!,5,y###8,,,
,tb_web_fuge1,taobao,,,"客服太好人了,昨天傍晚下单时说急用,今天就送到家了。安装简单,颜值又高。比我坏了那个二千多的还要好用",5,c###n,,,
,tb_web_fuge1,taobao,,,"这款电陶炉真心不错双炉用的方便,炒莱快,好东西推荐给大家",5,静###7,,,
,tb_web_fuge1,taobao,,,"电磁炉很好用,只有一个小问题,只支持16A的插座,所以买家要事先搭配好电源,否则比较麻烦",4,购###地,,,
,tb_web_fuge1,taobao,,,"非常不错,性价比很高,安装上去效果比较好,店家包装还特意在边角上增加包装,快递也很快",5,宁###9,,,
,tb_web_fuge1,taobao,,,"第二次购买,这次给老人买的,东西非常棒,客服热情周到,物流也快",5,维###h,,,
,tb_web_fuge1,taobao,,,"原来用的是电磁炉煤气一体灶,自从知道电陶炉可以不挑锅具以后又买了这一个。但是用起来觉得电陶炉比电磁炉慢很多。面板开关操作不明显,不开灯根本看不到。电源插头特别宽,标准国标插座插不进去。",2,默###6,,,
,tb_web_fuge1,taobao,,,"炉具很好就是打火时间稍微有点长,客服态度超好中间有点差错立马解决了,赞一个",4,折###9,,,
,tb_web_fuge1,taobao,,,"收到的燃气灶与卖家在淘宝上描述一致,质量不错!服务很好,祝你生意财源滚滚!",5,伍###我,,,
,tb_web_fuge1,taobao,,,"特别的高大上,比想象中的要好,拆开看第一感觉就不错,安装师傅也说不错,卖家服务好,五星好评",5,恬###4,,,
,tb_web_general,taobao,,,用了半年，安全方面最满意。不用接燃气管道，关电就熄火，不会泄漏。家里有老人小孩的特别推荐,5,半年用户,,,
,tb_web_general,taobao,,,好清洁是最大优点。整块平面面板，抹布一擦就干净，没有灶头火盖缝隙，半年下来依旧干净,5,整洁达人,,,
,tb_web_general,taobao,,,小火很稳，煲汤不扑锅、煎蛋不糊底。大火够猛能满足中式爆炒，电子控温比燃气灶精准,5,煲汤爱好者,,,
,tb_web_general,taobao,,,安装方便，只要有16A插座就能用。不用铺设管道、不用开户、不用年检，搬家也能带走,4,租房党,,,
,tb_web_general,taobao,,,缺点是老房子电线扛不住。2.5平方的线不行，得单独拉4平方的线，加16A空开，改线路花了三百八,3,踩坑用户,,,
,tb_web_general,taobao,,,火看着旺但锅底只中间一圈发红，边边凉。不像煤气能调成宽火苗，爆炒青菜锅沿那块老是没焦香,3,爆炒爱好者,,,
,tb_web_general,taobao,,,大火炒了十二分钟灶自己降频了，火力明显变软。说明书小字写着持续高功率超10分钟自动限频,3,火力控,,,
,tb_web_general,taobao,,,散热风扇有噪音，大火爆炒时嗡鸣声明显，比燃气灶吵。小火时基本听不到,4,安静控,,,
,tb_web_general,taobao,,,电极要换。网上说两年一换，问了老用户六年换了四次，每次两百，不贵但要记得,4,老用户,,,
,tb_web_general,taobao,,,电费算过：一天一个半小时，平均2000瓦，一度电五毛六，一天一块六，一月不到五十。比管道气省二三十,4,精打细算,,,
,tb_web_general,taobao,,,买时花了3200块，比普通燃气灶贵不少。但解决了开放式厨房的安全焦虑，这钱花得值,4,开放式厨房,,,
,tb_web_general,taobao,,,加热速度比想象快，30秒就能到200度，爆炒没问题。火力调节很准，有12个档位,5,效率党,,,
,tb_web_general,taobao,,,用了半年出现两次温度传感器延迟，维修麻烦。寿命估计三五年，不如燃气灶耐用,3,维修用户,,,
,tb_web_general,taobao,,,不挑锅具，铸铁锅、不锈钢锅都能用，这点比电磁炉强。带去露营在房车上煮火锅也顺手,5,露营达人,,,
,tb_web_general,taobao,,,锅底油污厚重会干扰感应，出现点火失灵。每次使用前需要简单擦拭锅底，多出一点打理步骤,3,洁癖党,,,
,tb_web_general,taobao,,,老年人用着省心。操作简单按钮大还有童锁，室内空气也变好没燃气味。妈再不用愁换煤气,5,为父母买,,,
,tb_web_general,taobao,,,锅具移走自动断电、空烧超时启动防干烧、电压过载断电、漏电瞬时保护，多重安全防护很安心,5,安全第一,,,
,tb_web_general,taobao,,,火焰集中在电极中心点，只有锅底中心区域受热。燃气灶是环形火焰包裹锅底，受热面积更大,3,技术党,,,
,tb_web_general,taobao,,,热效率官方标80%实测接近，比一级燃气灶70%高不少。这也是它省电的核心原因,4,数据控,,,
,tb_web_general,taobao,,,认准3C认证！不要选购套用电磁炉资质的非合规产品。必须配备防干烧、无锅断电、过载防护,4,选购建议,,,
,10214988190949,jd,,,买家评价(500+)好评率高达100%大火力超猛 18操作超便捷 23一擦即净 1火焰很稳定 2炒菜很香 2尺寸完美适配 5适合老人用 2用着超舒适 6颜值超能打 14智能功能超实用 1火力家用够用 1超省电 2t***k宝贝已收到，质量真的没话说，挺好的，接下来看看使用情况，r***q收到的实物真是太好了，不管是外观还是质量真的很棒，太喜欢了u***p选的华火电火灶黄色款太戳我了！明亮又显活力，摆在厨房瞬间提亮整个空间。试了煎蛋和煮面条，加热速度特别快，火候也好控制，新手也能轻松上手，不用扛煤气罐真的太省心了！全部评价问大家会不会很耗电？不会的，我们这款热效率高达81.5%，比燃气灶、电磁炉,,t***k,,,
,10214988190949,jd,,,大火力超猛 18操作超便捷 23一擦即净 1火焰很稳定 2炒菜很香 2尺寸完美适配 5适合老人用 2用着超舒适 6颜值超能打 14智能功能超实用 1火力家用够用 1超省电 2,,t***k,,,
,10214988190949,jd,,,买家评价(500+),,,,,
